,Names,Prices,Actual_Price,Discounts
0,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">Lenovo Legion 5 15.6"" Gaming Laptop AMD R7 7735HS RTX 4060 16GB RAM 512GB SSD</span>",US $379.99,US $424.99 ,11% off
1,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">2021 Apple iPad 9th Gen 64/256GB WiFi 10.2""</span>",US $899.99,"US $1,099.99 ",18% off
2,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">OnePlus 10T 5G 128GB Moonstone Black  T-Mobile Unlocked Smartphone - Brand New.</span>",US $299.00,US $859.99 ,42% off
3,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">Yu-Gi-Oh 25th Anniversary Rarity Collection Box Sealed YGO SEALED Yu-Gi-Oh Box S</span>",US $299.99,US $549.99 ,9% off
4,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">Apple iPhone 13 Pro Max - 128/256/512GB 1TB - Unlocked Verizon - Good Condition</span>",US $101.59,US $899.99 ,58% off
5,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">Lenovo Ideapad Gaming 3 15.6"" FHD Laptop R5-7535HS RTX 2050 8GB RAM 512GB SSD</span>",US $659.99,"US $3,505.00 ",74% off
6,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">SAMSUNG Galaxy S23, S23+, S23Ultra 5G Unlocked Smartphone Cellphone</span>",US $499.99,"US $3,702.00 ",74% off
7,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">Super Mario Bros. Wonder - Nintendo Switch</span>",US $869.49,US $33.99 ,6% off
8,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">CAT Phone S62 - 128GB - Rugged Waterproof Smartphone - Unlocked - OPEN BOX</span>",US $49.99,"US $5,600.00 ",18% off
9,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">CAT S62 128GB - Black - (T-Mobile Unlocked ) - Smartphone - Very Good</span>",US $119.00,"US $4,150.00 ",26% off
10,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">PUMA Men's Astro Kick Sneakers</span>",US $94.99,US $605.99 ,3% off
11,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">Pokemon 151 Ultra Premium Collection Box - Brand New and Factory Sealed</span>",US $29.99,US $15.99 ,6% off
12,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">PlayStation5 Console Horizon Forbidden West Bundle</span>",US $96.79,US $26.50 ,6% off
13,"<span class=""ebayui-ellipsis-2"" itemprop=""name"">Samsung Galaxy S21 5G SM-G991 128GB Unlocked AT&amp;T Verizon T-Mobile S21 Very Good</span>",US $499.99,"US $1,199.00 ",27% off
